time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	6.03478	1.91977	0.98216	-57.4047	-19.5869	radar	513.131	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	6.51879	1.90898	1.65036	-57.5387	-18.9237	lidar	705.277	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	6.9413	1.96288	1.40491	-57.3944	-17.9363	radar	439.669	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	7.51326	1.86462	2.16126	-57.4357	-17.2871	lidar	547.535	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	8.17753	1.85977	2.33697	-57.0533	-16.1656	radar	385.104	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	8.82301	1.72657	3.07378	-57.1817	-15.6858	lidar	411.032	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	9.50022	1.67298	3.50913	-57.1114	-14.8957	radar	183.657	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	9.96821	1.54349	3.87537	-57.5459	-14.7119	lidar	177.073	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	10.6493	1.5902	3.87683	-57.4935	-13.88	radar	291.724	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	10.9832	1.43059	4.06247	-57.997	-13.7788	lidar	102.389	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	11.4757	1.57346	3.43522	-58.0492	-12.9591	radar	503.644	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	11.6209	1.49324	3.37401	-58.5735	-12.9	lidar	73.218	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	11.6458	1.88074	1.86595	-58.9902	-12.5583	radar	706.125	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	11.7875	1.88755	1.81089	-59.4801	-12.49	lidar	101.15	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	11.6012	2.24439	0.747102	-60.3241	-12.8317	radar	349.772	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	11.8542	2.29046	0.632826	-60.8021	-12.7652	lidar	203.907	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	11.8452	2.30552	0.938821	-61.5219	-12.9482	radar	270.338	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	12.0948	2.37054	0.883247	-62.0497	-12.943	lidar	235.233	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	12.2229	2.35014	1.75544	-62.6359	-12.9234	radar	233.958	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	12.5021	2.36718	1.86557	-63.1677	-12.9006	lidar	201.173	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	12.7657	2.33261	2.23968	-63.3111	-12.2403	radar	234.692	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	13.063	2.34354	2.34566	-63.7235	-12.0953	lidar	255.154	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	13.3603	2.37714	2.24021	-63.6342	-11.2085	radar	255.558	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	13.6535	2.41556	2.25161	-63.9339	-10.9864	lidar	272.863	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	13.9573	2.49069	2.00296	-63.8288	-10.1718	radar	278.444	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	14.233	2.56176	1.91438	-64.0652	-9.94057	lidar	256.815	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	14.5017	2.65736	1.60085	-64.0333	-9.29948	radar	286.554	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	14.7324	2.80689	1.33553	-64.2325	-9.08274	lidar	265.098	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	14.9186	2.96544	0.812942	-64.2823	-8.60372	radar	335.218	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	15.1041	3.1691	0.474955	-64.4811	-8.42917	lidar	229.46	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	15.1486	3.39044	-0.200151	-64.7743	-8.30014	radar	235.981	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	15.3409	3.68451	-0.633206	-64.9687	-8.15022	lidar	258.358	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	15.3876	3.95492	-1.38711	-65.4245	-8.23251	radar	167.883	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	15.6395	4.2316	-1.76789	-65.6267	-8.08997	lidar	212.697	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	15.823	4.39834	-2.21269	-65.9073	-7.96009	radar	91.3682	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	16.1343	4.62425	-2.52383	-66.065	-7.77995	lidar	191.219	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	16.3792	4.75949	-2.73228	-66.1393	-7.44031	radar	75.3004	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	16.7149	4.99545	-2.96248	-66.2246	-7.20788	lidar	177.689	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	16.9794	5.15219	-3.05036	-66.2166	-6.8153	radar	71.2689	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	17.2854	5.39632	-3.10818	-66.2644	-6.57325	lidar	133.745	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	17.5346	5.52983	-3.16306	-66.3132	-6.27275	radar	54.6486	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	17.8018	5.73396	-3.11627	-66.3822	-6.07943	lidar	88.1531	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.0518	5.89298	-3.13564	-66.3849	-5.74082	radar	68.1806	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.3177	6.12313	-3.0336	-66.4275	-5.55825	lidar	99.9564	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.5223	6.20944	-3.0513	-66.5052	-5.31361	radar	39.6121	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	18.6871	6.53367	-2.6788	-66.4866	-5.10778	lidar	109.435	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	18.9058	6.62867	-2.75865	-66.529	-4.82325	radar	68.2004	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.0084	6.93563	-2.34849	-66.5329	-4.65634	lidar	84.7296	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.202	7.00789	-2.44607	-66.5681	-4.36908	radar	77.6135	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.2725	7.27386	-2.07627	-66.595	-4.23391	lidar	63.4954	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.4571	7.32181	-2.18824	-66.626	-3.96496	radar	71.7419	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.5632	7.64189	-1.84545	-66.5991	-3.79644	lidar	100.353	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7365	7.68148	-1.96417	-66.6153	-3.53913	radar	73.8531	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.8057	8.05219	-1.55754	-66.5521	-3.3527	lidar	120.738	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9598	8.06463	-1.70268	-66.5788	-3.14274	radar	61.311	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	19.9811	8.45239	-1.26144	-66.4969	-2.94864	lidar	123.876	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1434	8.47459	-1.46438	-66.4862	-2.72343	radar	103.783	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.124	8.8939	-0.990804	-66.3661	-2.50556	lidar	142.311	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2611	8.87998	-1.21836	-66.3968	-2.37224	radar	58.2653	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2427	9.30784	-0.789411	-66.2254	-2.1159	lidar	163.747	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3944	9.29739	-1.09292	-66.239	-1.99635	radar	85.7882	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.35	9.69323	-0.708951	-66.049	-1.73618	lidar	152.312	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.4471	9.69092	-0.904919	-66.0908	-1.68038	radar	39.7925	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.4346	10.0896	-0.620384	-65.826	-1.36919	lidar	186.934	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.5881	10.0695	-1.00347	-65.8659	-1.33221	radar	65.7046	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.5212	10.4895	-0.710261	-65.5356	-0.97888	lidar	218.895	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
